variable,fold,n_occ,pres_train,abs_train,pres_test,abs_test,scorable
P9,1,2,1,31,1,7,TRUE
P9,2,2,2,29,0,9,FALSE
P9,3,2,1,32,1,6,TRUE
P9,4,2,2,30,0,8,FALSE
P9,5,2,2,30,0,8,FALSE
_x,1,0,0,32,0,8,FALSE
_x,2,0,0,31,0,9,FALSE
_x,3,0,0,33,0,7,FALSE
_x,4,0,0,32,0,8,FALSE
_x,5,0,0,32,0,8,FALSE
a1,1,21,16,16,5,3,TRUE
a1,2,21,17,14,4,5,TRUE
a1,3,21,19,14,2,5,TRUE
a1,4,21,15,17,6,2,TRUE
a1,5,21,17,15,4,4,TRUE
sp1,1,40,32,0,8,0,FALSE
sp1,2,40,31,0,9,0,FALSE
sp1,3,40,33,0,7,0,FALSE
sp1,4,40,32,0,8,0,FALSE
sp1,5,40,32,0,8,0,FALSE
sp2,1,8,6,26,2,6,TRUE
sp2,2,8,6,25,2,7,TRUE
sp2,3,8,6,27,2,5,TRUE
sp2,4,8,7,25,1,7,TRUE
sp2,5,8,7,25,1,7,TRUE
sp3,1,10,9,23,1,7,TRUE
sp3,2,10,7,24,3,6,TRUE
sp3,3,10,8,25,2,5,TRUE
sp3,4,10,8,24,2,6,TRUE
sp3,5,10,8,24,2,6,TRUE
