id,a1,P9,_x,sp1,sp2,sp3
u01,0,0,0,1,0,1
u02,0,0,0,1,0,0
u03,1,0,0,1,0,1
u04,1,0,0,1,0,1
u05,1,0,0,1,0,0
u06,0,0,0,1,0,0
u07,1,0,0,1,0,0
u08,0,0,0,1,1,0
u09,1,0,0,1,0,0
u10,1,0,0,1,0,1
u11,0,0,0,1,1,0
u12,0,0,0,1,0,0
u13,0,1,0,1,0,0
u14,0,0,0,1,0,1
u15,0,0,0,1,0,0
u16,0,0,0,1,0,0
u17,1,0,0,1,0,0
u18,1,0,0,1,0,0
u19,1,0,0,1,0,0
u20,0,0,0,1,0,1
u21,0,0,0,1,0,0
u22,0,0,0,1,0,0
u23,0,0,0,1,1,0
u24,0,0,0,1,0,0
u25,1,0,0,1,0,0
u26,1,0,0,1,0,0
u27,1,0,0,1,0,0
u28,1,1,0,1,1,0
u29,0,0,0,1,0,1
u30,0,0,0,1,0,0
u31,1,0,0,1,0,0
u32,1,0,0,1,0,0
u33,1,0,0,1,0,1
u34,1,0,0,1,0,0
u35,1,0,0,1,0,0
u36,1,0,0,1,1,1
u37,0,0,0,1,1,0
u38,1,0,0,1,1,1
u39,1,0,0,1,0,0
u40,0,0,0,1,1,0
