window,stat,n_unit,n_bin,digest
hour,mean,3,9600,3c7d6efffba24e5605dd1ac72b2a7904
hour,min,3,9600,3c7d6efffba24e5605dd1ac72b2a7904
hour,max,3,9600,3c7d6efffba24e5605dd1ac72b2a7904
halfday,mean,3,800,4c2eb2409b8803da47c8be4198c0b0e3
halfday,min,3,800,85dafcd04da33acb5be383cdc2663f48
halfday,max,3,800,21fee7cb3f38f7fbd9f2dbc8adac3720
day,mean,3,400,40452df1f97a471404cd4eaea3c7f870
day,min,3,400,f402ff58620929ce82916c6767c46fa4
day,max,3,400,1c912a3bc61a2537ab8a044af8fc2b90
day,cold_day,3,400,40452df1f97a471404cd4eaea3c7f870
day,warm_day,3,400,40452df1f97a471404cd4eaea3c7f870
day,cold_day+mean+warm_day,3,400,04d143a3c07dc5e4395d0233c62d671e
week,mean,3,58,23015e94770e53ec80212f6e756f96bf
week,min,3,58,171ae388d9bec359d9c6983fb8a1293a
week,max,3,58,1ec9ebd9a0b7ae90233298c98e025f34
week,cold_day,3,58,e95109b48a9b38f53535acc830928d70
week,warm_day,3,58,90935bc92662ee48704abf92e5386adf
week,cold_day+mean+warm_day,3,58,c4812626f430c7f9d693db1955b48265
month,mean,3,14,77550b774ea6a7cfa0a107ccf0377ed1
month,min,3,14,70a77f28e1187ece09ad90ba850d71c4
month,max,3,14,92971bcba175e93d8cd5d66732261785
month,cold_day,3,14,fdb778c0d6082fb5cf9c0da113804631
month,warm_day,3,14,477e97ef7270a2b4af6f2b51993cdebd
month,cold_day+mean+warm_day,3,14,21747a898bf6146a0bd6de591286fbdd
season,mean,3,5,0c721e04552c07403bef7e131fd7e514
season,min,3,5,066ad5c0e16210135de24a3e292e35b6
season,max,3,5,9893629e81094ec90b30646b382e93b2
season,cold_day,3,5,1bac1f999ef670d97b18ff317e94d585
season,warm_day,3,5,8e2e49f296e102f5e080d5bfb63f0f78
season,cold_day+mean+warm_day,3,5,e6573185f839299c86ca874aee3db850
year,mean,3,2,f6af01b5b1aae1f9d239a330ab83c8f8
year,min,3,2,f868f75d8af566b463c4d9d3fbc38b66
year,max,3,2,73285ac99f6a794f19487f4c41dc3bfb
year,cold_day,3,2,06007334964f675aee7f3112e7fe2427
year,warm_day,3,2,4c33171c88047db721e10ce8e1e4914f
year,cold_day+mean+warm_day,3,2,3ae5141f9be8b6525e26d2799250ed78
